#Batch, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,2.040319588316227,1.0179903646815236,1.0228617987823534,1.0197806161171656,1.0179903646815236,0.5109746196247359,0.49981415752555663
2,1.8954965299205433,0.9063010533594745,0.989401348598168,0.9200165441287682,0.9063010533594745,0.48012549189508336,0.4853696799789626
3,2.1798131401412166,1.1811139162784667,0.9990700364279277,1.1116434159214736,1.1811139162784667,0.509308525693624,0.5099718849522382
4,2.034722263858952,1.0206035186451345,1.014467687682762,1.055905442851221,1.0206035186451345,0.5262701066325728,0.5189432787001818
5,1.906188561640822,0.9142211867276734,0.9921941339250951,0.965224620431452,0.9142211867276734,0.5022962324916843,0.5063636619456993
6,1.9689330106274643,0.9774022530538617,0.9916653816175173,0.9891004625562855,0.9774022530538617,0.4980989833891276,0.5023535372801112
7,1.7183463372327845,0.7754330858042139,0.9430025080980209,0.8280644666408125,0.7754330858042139,0.45438625596871135,0.4818961397353242
8,1.8789637814972342,0.8947829800792062,0.984282886504912,0.9750325842223222,0.8947829800792062,0.5107114674578567,0.518920371868678
9,2.1315683836344355,1.0981957322217992,1.0334101188973062,1.0517375540055671,1.0981957322217992,0.5098765928024603,0.4934101866402708
10,2.1182748090222865,1.088368668307645,1.0300871033728396,1.0470117140350237,1.088368668307645,0.5090575543324076,0.49427567640210185
11,1.8523968411553677,0.8694544222582931,0.9830367757532891,0.9175693261513423,0.8694544222582931,0.48689232939439675,0.49534165993235046
12,1.9588972471812394,0.9602179947227797,0.9988909350703394,0.9983355269113059,0.9602179947227797,0.5089684919171569,0.5096415998071688
13,1.8493834028731633,0.8604189969264376,0.9894333535179929,0.95139173558551,0.8604189969264376,0.5087601419717497,0.5144372627695522
14,2.030504894130133,1.0359937304316083,0.9948070726676719,1.0675716596801783,1.0359937304316083,0.5228807557516066,0.5257666025658733
15,1.820884504019048,0.8489576833915518,0.9721609172982146,0.9338062823194453,0.8489576833915518,0.4984343427897207,0.512831143468107
16,2.039595438789696,1.0198109201203607,1.0198746568716663,1.0021454215340562,1.0198109201203607,0.5010662246539578,0.49134519644186553
17,2.1322708281081373,1.1205242672771938,1.0119067788393572,1.0852528668965193,1.1205242672771938,0.5149443688111041,0.5089657714162946
18,2.03165168807607,1.0147277620735513,1.0173145029074713,1.0348354708298866,1.0147277620735513,0.5179770508593157,0.5093567351645071
19,2.066745334415075,1.0495819309103718,1.0176300036067658,1.0766534513319423,1.0495819309103718,0.5298826472308575,0.5209415177592038
20,1.8948876299235007,0.8951126602762525,0.9999778469381437,0.9211447098933919,0.8951126602762525,0.4860116293078386,0.4861210212927401
21,1.96365537779073,0.9827474131579021,0.9809357567448979,0.9896304158738238,0.9827474131579021,0.4943516912146202,0.5039735724846167
22,2.012827153443707,1.0353967632828251,0.9774370591367726,1.0360715144928696,1.0353967632828251,0.503117112123986,0.514734468242976
23,2.096309652212007,1.087012270734058,1.0099169733886255,1.1104639240001777,1.087012270734058,0.5346482708489474,0.5297232318843861
24,2.02714171388959,1.0007594843403247,1.0268624825542263,1.022226232382198,1.0007594843403247,0.5175735037700139,0.5042697436385912
25,1.9752948235323513,1.0073930514677176,0.9686395205719551,0.9778584283756131,1.0073930514677176,0.4791542479519855,0.4950442924904459
26,2.1021717230548678,1.0755208982222826,1.0267443992440537,1.0389537630348573,1.0755208982222826,0.5074003831773617,0.494228778572406
27,1.8099314588064308,0.8410013825432306,0.9690031988261503,0.914717456131922,0.8410013825432306,0.48968553489514854,0.5053878983545252
28,2.05210333494395,1.0535960438969876,0.9988201196435246,1.0227399046264878,1.0535960438969876,0.4976422162688586,0.49838616175457956
29,2.036221214852904,1.0499303020014072,0.9864148916104029,1.045540687128613,1.0499303020014072,0.5064318509253698,0.5134710705801886
30,2.2289976508643945,1.1808847989590778,1.0481633725056771,1.1360649749032075,1.1808847989590778,0.5341971986079868,0.509675267922623
31,1.985813242936271,0.9964904377120555,0.9896799974021022,1.0281566695278976,0.9964904377120555,0.5122228105414894,0.5177509381534996
32,1.9943245035238137,1.0068535802224758,0.9877906754692664,0.9785499953566184,1.0068535802224758,0.48451977885442526,0.4906673881946483
33,1.8710895002125476,0.8686648208470923,1.0028615768881477,0.9353492328730084,0.8686648208470923,0.5011075925288132,0.49989550621002193
34,1.8258577359234578,0.8543986868130571,0.9716629346051868,0.9548594139542746,0.8543986868130571,0.5080389342847578,0.522964848338164
35,1.9490336621022204,0.9548143766307207,0.9943173820912762,0.9411464628641483,0.9548143766307207,0.4800871231867662,0.4828785059817957
36,1.8639374074306698,0.9112801722169458,0.9529784169610371,0.946052676932555,0.9112801722169458,0.48352692744948483,0.5075560333523399
37,2.0677202496703098,1.062710060690853,1.0054855390623527,1.0189780923479412,1.062710060690853,0.4952717203015335,0.49280268571651
38,1.8680404696062016,0.8771418503298999,0.9909648362397999,0.9292265273473816,0.8771418503298999,0.4929064963659694,0.49743383104717764
39,2.031247713725527,1.0377948082043824,0.9944871667620458,1.0202379532553927,1.0377948082043824,0.49898313836156427,0.5022715577038934
40,2.0677036589689393,1.0503603437003453,1.0175739535811983,1.0130271557609944,1.0503603437003453,0.49842558464732395,0.4899285985043624
41,2.020150146949625,1.0138005128431116,1.0066321828449336,0.9913890478367312,1.0138005128431116,0.49386626387854216,0.49075017979911206
42,2.1643356200074906,1.0919661726127696,1.0729828519935702,1.0910412093097301,1.0919661726127696,0.5405812517692122,0.5040998259345536
43,1.954945555238016,0.9554204114504593,0.9996528173515921,0.9911364490026485,0.9554204114504593,0.5067485378547262,0.5069892848662872
