#Batch, E[Ts], E[Tq], E[s], E[Ns], E[Nq], ρ, λ
1,1.6260074296154197,0.17501641346821217,1.4538211599705184,0.8127702593418473,0.17501641346821217,0.36335092315825973,0.4998564241087645
2,1.649760830665494,0.21914149417477843,1.4316383535663646,0.804103382003098,0.21914149417477843,0.34889458535746853,0.48740603307858404
3,1.7044303333645676,0.22198479809728378,1.4824714284886444,0.8343579489281848,0.22198479809728378,0.3628519735320427,0.489523057995073
4,1.7306567778528905,0.2408858189831969,1.4907148027464054,0.8891088053646958,0.2408858189831969,0.3829204248844964,0.5137406889353031
5,1.7466703217519197,0.22343583816255258,1.5238735762413738,0.8730928490199851,0.22343583816255258,0.3808626921914986,0.49986127212848513
6,1.7210466594902791,0.24107730713563072,1.4793198561832948,0.8355380096496509,0.24107730713563072,0.3590919402024438,0.48548248534825394
7,1.71086957542244,0.2173720585590078,1.495318113360045,0.8595471076521274,0.2173720585590078,0.37562663391249546,0.5024036431531562
8,1.6781638621255315,0.2063268056527626,1.4725586048621992,0.8355830401502836,0.2063268056527626,0.3666045442939516,0.497915048112137
9,1.781173177164728,0.27457046031141413,1.50768912430957,0.885226503426566,0.27457046031141413,0.3746537363344176,0.4969906995992775
10,1.725057494833355,0.21128873082695498,1.5149459135546919,0.8635440013550564,0.21128873082695498,0.37918227651707564,0.5005885333917389
11,1.7587329252512576,0.24280072523570084,1.5157330120170847,0.8727191304388304,0.24280072523570084,0.3760688098893694,0.49622038565869875
12,1.743846902441102,0.2389386359545587,1.5055635210015124,0.8641052237640824,0.2389386359545587,0.3730159171039934,0.4955166778428058
13,1.8727098145446257,0.3227974321410005,1.5463483764406303,0.9496839604816416,0.3227974321410005,0.39209017836529836,0.5071175219491066
14,1.6495274446641794,0.2238061814952748,1.4301451336582405,0.8094391538934557,0.2238061814952748,0.3508930605179605,0.4907097220551223
15,1.8468312589113303,0.2967400087971489,1.549261065354996,0.9597812501958478,0.2967400087971489,0.4025683762420984,0.5196908193776293
16,1.7415722211314555,0.23542559092570883,1.5067204526629798,0.8823059026934205,0.23542559092570883,0.3816632847501953,0.5066145934046931
17,1.784806561683454,0.24986558487095106,1.5352856164703557,0.8800642243403912,0.24986558487095106,0.3785143931579677,0.49308661410920773
18,1.7477699104668836,0.20949005967779083,1.5396947893532773,0.8579526819477243,0.20949005967779083,0.3779059434527353,0.49088422727139097
19,1.6039755321316957,0.18147086877865148,1.4247330029802288,0.8044569415864098,0.18147086877865148,0.3572798746597687,0.5015394097173542
20,1.7243977187787836,0.23962633156370308,1.4850581103834668,0.8576875345314401,0.23962633156370308,0.36932194222361847,0.4973838257793877
21,1.8633686788697283,0.2742260344288319,1.5909689252072978,0.9144930482040027,0.2742260344288319,0.3904031549175741,0.4907740795335847
